,Time (UTC+10),Regions VIC Trading Price ($/MWh),raw_power,market_dispatch,opening_capacity,closing_capacity,revenue
0,2018-01-01 00:00:00,90.43,0,0,0,0,0
1,2018-01-01 00:30:00,92.46,-300,-150,0,135,-13995
2,2018-01-01 01:00:00,87.62,-300,-150,135,270,-13262
3,2018-01-01 01:30:00,73.08,-300,-150,270,405,-11062
4,2018-01-01 02:00:00,70.18,-300,-150,405,540,-10623
5,2018-01-01 02:30:00,67.43,-88,-44,540,580,-2994
6,2018-01-01 03:00:00,66.31,0,0,580,580,0
7,2018-01-01 03:30:00,67.72,0,0,580,580,0
8,2018-01-01 04:00:00,65.5,0,0,580,580,0
9,2018-01-01 04:30:00,64.5,0,0,580,580,0
10,2018-01-01 05:00:00,65.41,0,0,580,580,0
11,2018-01-01 05:30:00,63.66,0,0,580,580,0
12,2018-01-01 06:00:00,59.9,0,0,580,580,0
13,2018-01-01 06:30:00,64.67,0,0,580,580,0
14,2018-01-01 07:00:00,66.89,0,0,580,580,0
15,2018-01-01 07:30:00,67.06,0,0,580,580,0
16,2018-01-01 08:00:00,67.49,0,0,580,580,0
17,2018-01-01 08:30:00,67.12,0,0,580,580,0
18,2018-01-01 09:00:00,67.47,0,0,580,580,0
19,2018-01-01 09:30:00,71.02,0,0,580,580,0
20,2018-01-01 10:00:00,71.08,0,0,580,580,0
21,2018-01-01 10:30:00,71.13,0,0,580,580,0
22,2018-01-01 11:00:00,74.86,0,0,580,580,0
23,2018-01-01 11:30:00,72.45,0,0,580,580,0
24,2018-01-01 12:00:00,66.51,0,0,580,580,0
25,2018-01-01 12:30:00,64.77,0,0,580,580,0
26,2018-01-01 13:00:00,70.02,0,0,580,580,0
27,2018-01-01 13:30:00,76.04,0,0,580,580,0
28,2018-01-01 14:00:00,76.8,0,0,580,580,0
29,2018-01-01 14:30:00,76.77,0,0,580,580,0
30,2018-01-01 15:00:00,73.21,0,0,580,580,0
31,2018-01-01 15:30:00,78.59,0,0,580,580,0
32,2018-01-01 16:00:00,85.27,0,0,580,580,0
33,2018-01-01 16:30:00,80.8,0,0,580,580,0
34,2018-01-01 17:00:00,81.76,0,0,580,580,0
35,2018-01-01 17:30:00,75.14,0,0,580,580,0
36,2018-01-01 18:00:00,73.45,0,0,580,580,0
37,2018-01-01 18:30:00,68.77,0,0,580,580,0
38,2018-01-01 19:00:00,70.64,0,0,580,580,0
39,2018-01-01 19:30:00,67.8,0,0,580,580,0
40,2018-01-01 20:00:00,73.9,0,0,580,580,0
41,2018-01-01 20:30:00,77.97,0,0,580,580,0
42,2018-01-01 21:00:00,70.04,0,0,580,580,0
43,2018-01-01 21:30:00,71.25,0,0,580,580,0
44,2018-01-01 22:00:00,66.06,0,0,580,580,0
45,2018-01-01 22:30:00,64.77,0,0,580,580,0
46,2018-01-01 23:00:00,61.09,0,0,580,580,0
47,2018-01-01 23:30:00,63.55,0,0,580,580,0
48,2018-01-02 00:00:00,60.31,0,0,580,580,0
49,2018-01-02 00:30:00,57.33,0,0,580,580,0
50,2018-01-02 01:00:00,56.32,0,0,580,580,0
51,2018-01-02 01:30:00,51.96,0,0,580,580,0
52,2018-01-02 02:00:00,53.57,0,0,580,580,0
53,2018-01-02 02:30:00,52.5,0,0,580,580,0
54,2018-01-02 03:00:00,53.61,0,0,580,580,0
55,2018-01-02 03:30:00,53.13,0,0,580,580,0
56,2018-01-02 04:00:00,53.75,0,0,580,580,0
57,2018-01-02 04:30:00,51.11,0,0,580,580,0
58,2018-01-02 05:00:00,66.34,0,0,580,580,0
59,2018-01-02 05:30:00,67.81,0,0,580,580,0
60,2018-01-02 06:00:00,69.3,0,0,580,580,0
61,2018-01-02 06:30:00,68.97,0,0,580,580,0
62,2018-01-02 07:00:00,77.13,0,0,580,580,0
63,2018-01-02 07:30:00,72.24,0,0,580,580,0
64,2018-01-02 08:00:00,73.57,0,0,580,580,0
65,2018-01-02 08:30:00,77.12,0,0,580,580,0
66,2018-01-02 09:00:00,82.21,0,0,580,580,0
67,2018-01-02 09:30:00,77.9,0,0,580,580,0
68,2018-01-02 10:00:00,71.6,0,0,580,580,0
69,2018-01-02 10:30:00,73.31,0,0,580,580,0
70,2018-01-02 11:00:00,75.77,0,0,580,580,0
71,2018-01-02 11:30:00,76.87,0,0,580,580,0
72,2018-01-02 12:00:00,78.8,0,0,580,580,0
73,2018-01-02 12:30:00,78.67,0,0,580,580,0
74,2018-01-02 13:00:00,76.94,0,0,580,580,0
75,2018-01-02 13:30:00,81.04,0,0,580,580,0
76,2018-01-02 14:00:00,73.05,0,0,580,580,0
77,2018-01-02 14:30:00,76.59,0,0,580,580,0
78,2018-01-02 15:00:00,68.26,0,0,580,580,0
79,2018-01-02 15:30:00,75.28,0,0,580,580,0
80,2018-01-02 16:00:00,74.09,0,0,580,580,0
81,2018-01-02 16:30:00,74.82,0,0,580,580,0
82,2018-01-02 17:00:00,71.29,0,0,580,580,0
83,2018-01-02 17:30:00,68.33,0,0,580,580,0
84,2018-01-02 18:00:00,69.4,0,0,580,580,0
85,2018-01-02 18:30:00,74.12,0,0,580,580,0
86,2018-01-02 19:00:00,76.4,0,0,580,580,0
87,2018-01-02 19:30:00,67.8,0,0,580,580,0
88,2018-01-02 20:00:00,76.62,0,0,580,580,0
89,2018-01-02 20:30:00,78.06,0,0,580,580,0
90,2018-01-02 21:00:00,68.68,0,0,580,580,0
91,2018-01-02 21:30:00,66.61,0,0,580,580,0
92,2018-01-02 22:00:00,60.58,0,0,580,580,0
93,2018-01-02 22:30:00,63.89,0,0,580,580,0
94,2018-01-02 23:00:00,62.97,0,0,580,580,0
95,2018-01-02 23:30:00,65.81,0,0,580,580,0
96,2018-01-03 00:00:00,66.02,0,0,580,580,0
97,2018-01-03 00:30:00,59.33,0,0,580,580,0
98,2018-01-03 01:00:00,55.01,0,0,580,580,0
99,2018-01-03 01:30:00,46.83,0,0,580,580,0
100,2018-01-03 02:00:00,46.92,0,0,580,580,0
101,2018-01-03 02:30:00,49.74,0,0,580,580,0
102,2018-01-03 03:00:00,49.37,0,0,580,580,0
103,2018-01-03 03:30:00,50.99,0,0,580,580,0
104,2018-01-03 04:00:00,52.0,0,0,580,580,0
105,2018-01-03 04:30:00,54.33,0,0,580,580,0
106,2018-01-03 05:00:00,55.38,0,0,580,580,0
107,2018-01-03 05:30:00,62.36,0,0,580,580,0
108,2018-01-03 06:00:00,63.41,0,0,580,580,0
109,2018-01-03 06:30:00,67.53,0,0,580,580,0
110,2018-01-03 07:00:00,69.86,0,0,580,580,0
111,2018-01-03 07:30:00,71.44,0,0,580,580,0
112,2018-01-03 08:00:00,71.0,0,0,580,580,0
113,2018-01-03 08:30:00,72.51,0,0,580,580,0
114,2018-01-03 09:00:00,73.81,0,0,580,580,0
115,2018-01-03 09:30:00,74.1,0,0,580,580,0
116,2018-01-03 10:00:00,73.46,0,0,580,580,0
117,2018-01-03 10:30:00,71.7,0,0,580,580,0
118,2018-01-03 11:00:00,75.72,0,0,580,580,0
119,2018-01-03 11:30:00,73.89,0,0,580,580,0
120,2018-01-03 12:00:00,76.72,0,0,580,580,0
121,2018-01-03 12:30:00,73.1,0,0,580,580,0
122,2018-01-03 13:00:00,72.73,0,0,580,580,0
123,2018-01-03 13:30:00,72.04,0,0,580,580,0
124,2018-01-03 14:00:00,76.79,0,0,580,580,0
125,2018-01-03 14:30:00,73.56,0,0,580,580,0
126,2018-01-03 15:00:00,74.14,0,0,580,580,0
127,2018-01-03 15:30:00,70.81,0,0,580,580,0
128,2018-01-03 16:00:00,72.27,0,0,580,580,0
129,2018-01-03 16:30:00,70.84,0,0,580,580,0
130,2018-01-03 17:00:00,71.56,0,0,580,580,0
131,2018-01-03 17:30:00,69.83,0,0,580,580,0
132,2018-01-03 18:00:00,66.88,0,0,580,580,0
133,2018-01-03 18:30:00,73.66,0,0,580,580,0
134,2018-01-03 19:00:00,76.22,0,0,580,580,0
135,2018-01-03 19:30:00,77.83,0,0,580,580,0
